,STATE,CITY,KEYWORD,STATE,COUNTRY
4000,nv,las vegas,,,USA
4001,nv,las vegas,,,USA
4002,nv,las vegas,,,USA
4003,nv,las vegas,,,USA
4004,nv,las vegas,,,USA
4005,nv,las vegas,,,USA
4006,tx,dallas,,,USA
4008,ca,,,,USA
4009,ny,new york,,,USA
4014,ny,new york,,,USA
4016,ca,los angeles,,,USA
4018,ny,new york,,,USA
4019,ny,new york,,,USA
4020,ca,,,,USA
4021,ma,boston,,,USA
4025,ok,,,,USA
4026,ca,san francisco,,,USA
4029,ma,boston,,,USA
4039,ca,,,,USA
4044,or,portland,,,USA
4045,va,,,,USA
4047,la,los angeles,,,USA
4053,il,chicago,,,USA
4058,ny,new york,,,USA
4059,ny,new york,,,USA
4060,tx,houston,,,USA
4063,ny,new york,,,USA
